ID,Title,Steps
TC-001,Successful User Authentication with Valid Credentials,1. Navigate to the login page.\n2. Enter a registered email address.\n3. Enter the correct password.\n4. Click the 'Login' button.\n5. Verify the user dashboard is displayed.
TC-002,Authentication Failure with Invalid Password,1. Navigate to the login page.\n2. Enter a registered email address.\n3. Enter an incorrect password.\n4. Click the 'Login' button.\n5. Verify that an error message 'Invalid credentials' is displayed.
TC-003,Password Reset Link Generation,1. Navigate to the login page.\n2. Click 'Forgot Password'.\n3. Enter a valid registered email address.\n4. Click 'Submit'.\n5. Verify that a success message appears and an email is triggered.
TC-004,Add Single Item to Shopping Cart,1. Navigate to the product listing page.\n2. Click on the first product item.\n3. Click the 'Add to Cart' button.\n4. Verify the cart badge count increments to 1.\n5. Open the cart and verify the product is listed.
TC-005,Update Product Quantity in Cart,1. Navigate to the shopping cart with an item already added.\n2. Change the product quantity field from 1 to 3.\n3. Click 'Update Cart' if applicable.\n4. Verify the total price updates correctly to match 3 items.
TC-006,Remove Item from Shopping Cart,1. Navigate to the shopping cart with an item already added.\n2. Click the 'Remove' or 'Delete' icon next to the item.\n3. Verify the item disappears from the cart.\n4. Verify the cart total resets to 0.
TC-007,Checkout Process - Guest User with Valid Details,1. Add an item to the cart and proceed to checkout.\n2. Select 'Checkout as Guest'.\n3. Input valid shipping and billing addresses.\n4. Input valid dummy credit card details.\n5. Click 'Place Order'.\n6. Verify the order confirmation page and order ID.
TC-008,API - GET /api/v1/products Returns 200 OK,1. Send a GET request to '/api/v1/products' with valid authorization headers.\n2. Verify the HTTP response status code is 200.\n3. Validate that the JSON payload contains an array of product objects.
TC-009,API - POST /api/v1/orders Rejects Missing Payload,1. Send a POST request to '/api/v1/orders' with an empty JSON body.\n2. Verify the HTTP response status code is 400 Bad Request.\n3. Verify the error body contains 'Missing required field: items'.
TC-010,Search Functionality with Exact Match Keywords,1. Navigate to the home page.\n2. Enter an exact product name (e.g 'Wireless Headphones') into the search bar.\n3. Press Enter or click search.\n4. Verify that the search results display relevant matching products.
TC-011,User Registration - Password Complexity Validation,1. Navigate to the registration page.\n2. Fill valid personal details.\n3. Input a simple password (e.g. '123').\n4. Click 'Register'.\n5. Verify that a validation error appears highlighting password policy requirements.
TC-012,Session Expiration after Inactivity Timeout,1. Log into the application with valid credentials.\n2. Artificially advance or wait for the session timeout duration (e.g 15 minutes).\n3. Click on a protected route or link (e.g. '/profile').\n4. Verify that the user is automatically redirected to the login page.
TC-013,UI Responsive Layout Layout Check - Mobile Viewport,1. Set browser viewport resolution to 375x812 (Mobile dimensions).\n2. Load the application home page.\n3. Verify the desktop navigation bar collapses into a hamburger menu icon.\n4. Verify no horizontal scrolling occurs.
TC-014,Concurrent Item Purchases Causing Stock Depletion,1. Identify an item with a stock inventory count of exactly 1.\n2. Open two distinct user sessions simultaneously.\n3. Attempt to purchase the item at the exact same moment from both sessions.\n4. Verify one transaction succeeds and the other returns an out-of-stock error.
TC-015,Login,1. Navigate to the login page.\n2. Enter valid user details.\n3. Click 'Login' .\n4. Verify the user has logged in.
